sweep_id,mae/x,mae/y,mae/z,mae/pitch,mae/roll,mae/yaw,drift/final_drift_rate,drift/avg_drift_rate,drift/max_drift,drift/sum_of_drift,drift/hausdorff,ddf/5pt-avg_global_displacement_error,ddf/5pt-max_global_displacement_error,ddf/5pt-avg_local_displacement_error,ddf/5pt-max_local_displacement_error,ddf/5pt-tusrec_final_score,ddf/5pt-relative_global_err_pct,inference_time,total_time
sweep_00000,2.591567630895082,1.321739920126015,7.303771664080288,7.320027125932387,2.8810807856869776,2.1912569044111203,11.838259182914072,12.176772477165963,16.133312833380366,3135.4905568651093,16.093006689266875,10.78779125213623,21.923954010009766,0.21682991087436676,0.7890625,0.6165753273448076,0.1708681285381317,0.9486672878265381,3.677312135696411
sweep_00001,4.972377995807871,10.317506979009826,16.091568095192635,11.173779949182459,8.656331924204094,4.777305022220312,24.56838427484442,21.304734784159933,46.09378513055136,10527.475670588257,45.21080096126857,23.620134353637695,49.10593795776367,0.23770199716091156,0.8132283091545105,0.6133510369515244,0.26492366194725037,0.9650754928588867,4.474753141403198
sweep_00002,6.791501920065506,11.68375936111405,2.8045783460392846,1.6317553753374088,4.019484757961339,6.039065292099594,20.73035918000545,19.952941753723515,28.73772012076417,3512.440299447862,28.73772012076417,16.570236206054688,34.19094467163086,0.27115046977996826,0.9703308939933777,0.6179603037082062,0.25636211037635803,0.5662376880645752,2.5426084995269775
sweep_00003,10.198038091609837,8.576518107512758,15.783945747791822,10.707703660207642,9.936844435863488,9.809427208801786,29.460820524113256,25.199903792400388,53.0221683069367,11407.534012681845,53.009487928045914,26.9788875579834,60.56142044067383,0.18335387110710144,0.6199531555175781,0.6293829177103807,0.31804537773132324,0.9521584510803223,4.347579002380371
sweep_00004,7.082362399667252,17.180320692204287,23.46262866989007,13.194310897284973,13.057913477933743,9.54396179211048,44.14252866084118,40.183520611765225,65.8220033967587,13065.495589543158,65.74917430056684,35.284889221191406,68.57730102539062,0.3131941556930542,1.3347927331924438,0.625416985021264,0.43968814611434937,0.7611143589019775,3.7803919315338135
sweep_00005,5.6731268198971305,8.475852709396749,10.612194322230962,4.882805566790585,8.41351995346214,9.120051769250937,26.512235213663466,33.26023409573223,39.83003498585989,7717.691015901034,39.485402122526075,23.02962875366211,53.52485275268555,0.2745429277420044,0.867465615272522,0.6266254898220653,0.3740001320838928,0.8252658843994141,3.896574020385742
sweep_00006,11.022042645773821,10.1009194984746,13.345679007897198,6.953125150993883,19.442392335554405,5.140320760702166,37.38344875528673,28.881519078560256,50.90313631081746,11048.425142961667,48.51584594954183,30.48046875,65.73094177246094,0.2626480460166931,0.7975655794143677,0.6034860755881697,0.411307156085968,0.9061243534088135,5.663107633590698
sweep_00007,6.73952506500786,7.922781170152261,31.22409827924642,6.794322405008184,11.580951859977354,5.705216562882704,50.391878383466924,45.4533566458136,68.97888079971315,17247.738707022647,66.7222977956241,36.47865676879883,71.62283325195312,0.25857314467430115,0.9066616892814636,0.6027457202218713,0.5626134872436523,0.9149856567382812,4.3773109912872314
sweep_00008,7.406277461156025,7.970868167023166,14.113398338455484,7.248049882613176,13.264543509482676,2.9339155402833064,22.43201917255143,20.542391319595495,35.82291122537397,6235.131672369015,35.117091336760396,23.012176513671875,39.76261901855469,0.24012884497642517,0.9830137491226196,0.5884914153007724,0.2548244297504425,0.6969311237335205,3.3660054206848145
sweep_00009,5.700016733462074,5.448955840998088,29.303691640286928,4.678209526689371,3.2650669976277267,1.5371766267411973,27.043053745139883,31.777539146978945,51.17168822716262,14500.249469340306,51.17168822716262,30.753564834594727,52.18389892578125,0.247175931930542,4.527711391448975,0.6780388328793293,0.3228178918361664,0.8418121337890625,4.247472286224365
