quantile,scale,fdr,gpe,lpe,tusrec_final_score
0.0,0.0,99.99999897167739,39.49509620666504,0.40449997286001843,0.6252156555243227
0.0,0.1,100.06849595737265,35.660165786743164,0.3644336660703023,0.6314560277039934
0.0,0.2,98.84931899015403,31.78382142384847,0.3255383372306824,0.6388708631201614
0.0,0.3,94.03571325764706,27.85998598734538,0.28828520079453784,0.6483775763206201
0.0,0.4,85.00197927598809,23.90532620747884,0.25343411415815353,0.6592512489778106
0.0,0.5,72.82133375760144,19.988227526346844,0.222201277812322,0.6708851863471456
0.0,0.6,62.98781072289962,16.267020225524902,0.19653218736251196,0.6802494807135897
0.0,0.7,65.53007622446803,13.106337229410807,0.17911140124003092,0.6793869318910742
0.0,0.8,90.59490874791607,11.139524618784586,0.17255816360314688,0.6502504013652629
0.0,0.9,129.7862634616857,11.502975304921469,0.1777298003435135,0.6189060618675184
0.0,1.0,178.77461002416234,14.250828742980957,0.19339709480603537,0.6205815258301873
0.1,0.0,99.91881346259714,39.46764691670736,0.4044581900040309,0.6252446971574911
0.1,0.1,100.30043633039304,35.58190600077311,0.36440324783325195,0.6313933645826673
0.1,0.2,99.34404957080028,31.653287569681805,0.32551753024260205,0.6387412016500066
0.1,0.3,94.71693975492245,27.675371487935383,0.2882712036371231,0.6482122531925504
0.1,0.4,85.74318538795171,23.664513905843098,0.2534259259700775,0.65901069789201
0.1,0.5,73.31712642563564,19.68195168177287,0.22219642251729965,0.6709304287264635
0.1,0.6,62.55965187982159,15.890912373860678,0.1965283378958702,0.6805440654758884
0.1,0.7,64.00970762067367,12.658881664276123,0.17910281817118326,0.6799112986778524
0.1,0.8,88.12587070858599,10.669145901997885,0.17254496117432913,0.6507471108553458
0.1,0.9,127.07989825440256,11.176901817321777,0.17770923177401224,0.6188412798206532
0.1,1.0,175.91052507946006,14.077645619710287,0.193367600440979,0.6219655679803062
0.2,0.0,101.05241205272449,39.4526793162028,0.40419893463452655,0.6252539804616853
0.2,0.1,101.79010716100834,35.521884282430015,0.36419545114040375,0.6311347988206008
0.2,0.2,101.0023601264141,31.54146162668864,0.3253563344478607,0.6382965257918173
0.2,0.3,96.43358437512575,27.504535992940266,0.28815193474292755,0.64778511655387
0.2,0.4,87.34042381390226,23.42539914449056,0.25334447622299194,0.6591882503240407
0.2,0.5,74.40336476539933,19.362130165100098,0.22214572131633759,0.6713296828198745
0.2,0.6,62.24692268468243,15.476540565490723,0.19650012254714966,0.681010568627373
0.2,0.7,62.163898487570975,12.140366395314535,0.17908510565757751,0.6803631459536424
0.2,0.8,85.39568959841746,10.122089703877768,0.17252536863088608,0.6516773570372328
0.2,0.9,124.3067814362521,10.81108045578003,0.17766925195852915,0.6204988546146127
0.2,1.0,173.2554188467166,13.913628737131754,0.19329061110814413,0.6243859828865398
0.3,0.0,101.9772287344353,39.43571027119955,0.40335698425769806,0.6249761498667895
0.3,0.1,103.10297057883521,35.45691426595052,0.3635052641232808,0.6310242686600492
0.3,0.2,102.36658797306187,31.422245343526203,0.324811910589536,0.6383395722595789
0.3,0.3,97.74785341053327,27.324684143066406,0.28774381677309674,0.6477519144782421
0.3,0.4,88.47431029978493,23.17724672953288,0.25305769095818204,0.6595059294986864
0.3,0.5,75.05277452354392,19.036572615305584,0.221962700287501,0.6713314491104075
0.3,0.6,61.69963269301763,15.063191731770834,0.19639477878808975,0.6810503711269056
